route,location,url,avg_stars,route_type,rating,pitches,length,y,x
Internet Arete,Moby Boulder > Moby Area > Tilted Tree > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/112522475/internet-arete,3.6,Boulder,V3,1,NA,39.63388,-79.80663
Tomb Raider,Tomb Raider > Tomb Raider Area > Upper Rock City > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/107495217/tomb-raider,3,Boulder,V3,1,NA,39.63807,-79.81754
Black Scar,Tilted Tree Corridor > Tilted Tree Area > Tilted Tree > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/107041756/black-scar,3.1,Boulder,V1,1,NA,39.63321,-79.80525
Puckerface,Leaving Las Fayetteville Boulder > Hawk's Nest Proper > Lower New River Gorge Bouldering > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/107294413/puckerface,2.8,Boulder,V2,1,NA,38.11762,-81.13159
Crimpin' Ain't Easy,06. Crimpin' Boulder > Meadow Top Boulders > Meadow River Gorge > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/115679841/crimpin-aint-easy,3,Boulder,V3-,1,NA,38.1532,-80.93027
Gymnastic Fantastic,Gymnastic Fantastic Boulder > Short Creek Right > Short Creek Bouldering > Beauty Mountain > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/112352193/gymnastic-fantastic,3.6,Boulder,V2,1,15,38.05486,-81.03522
Practitioner aka “The Proctologist”,Tilted Tree Corridor > Tilted Tree Area > Tilted Tree > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/107041786/practitioner-aka-the-proctologist,2.7,Boulder,V1,1,NA,39.63321,-79.80525
Spiderwoman Problem,Ceiling Block Area > Roadside > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/117928462/spiderwoman-problem,3.9,Boulder,V-easy,1,NA,39.63559,-79.81191
Helium,Sunshine Boulder > Sunshine Boulders > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/114232025/helium,3.2,Boulder,V3,1,14,38.0733,-81.08549
The Cave Route,Tendon Repair Kit Area > Roadside > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/114170641/the-cave-route,3.6,Boulder,V3,1,12,39.63561,-79.81205
