route,location,url,avg_stars,route_type,rating,pitches,length,y,x
Leading Should Feel This Way,Talking Headwall > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/106152673/leading-should-feel-this-way,3.3,Sport,5.10c,1,60,38.9466,-78.3022
Lost Arrow,Aid Box > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/106162636/lost-arrow,3.4,"Trad, TR",5.10b/c,1,35,38.98854,-77.24734
Big Balls,Talking Headwall > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/106152581/big-balls,2.7,Sport,5.10a/b,1,70,38.9466,-78.3022
Pure Energy,Talking Headwall > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/106152687/pure-energy,2.6,Sport,5.10a,1,40,38.9466,-78.3022
Oh My God Dihedral,Middle God's Area-Left > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/106006448/oh-my-god-dihedral,3.9,Trad,5.10c,1,70,38.5504,-78.30727
Fortis,Talking Headwall > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/106152658/fortis,2.6,Sport,5.10a,1,50,38.9466,-78.3022
Bushwhack Crack,Wall That Dreams Are Made Of > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/106006398/bushwhack-crack,3.7,Trad,5.10c,1,50,38.54915,-78.30623
Galen's 10,Talking Headwall > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/110551056/galens-10,2.6,Sport,5.10a,1,NA,38.9466,-78.3022
Cornucopia of Delightful Climbing,Eastern Prospectors > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/116654753/cornucopia-of-delightful-climbing,3.8,Sport,5.10c,1,80,37.28329,-82.30227
Spirit Blade,Pinnacle Left > Pinnacle Rock Area > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/115418892/spirit-blade,3.6,Sport,5.10b,1,75,37.12845,-82.41344
Report to Sickbay,Reflector Oven > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/106006384/report-to-sickbay,3.3,Trad,5.10c,1,100,38.55,-78.3089
Golden Gate,Lower Lodges > Towers/Lodges > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/118173945/golden-gate,4,Sport,5.10c,1,70,37.28629,-82.30648
Two-Lane Highway,Bird's Nest > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/107150094/two-lane-highway,3.1,TR,5.10a,1,60,38.98789,-77.24715
Dominion,Pinnacle Left > Pinnacle Rock Area > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/114276542/dominion,3.5,Sport,5.10d,1,60,37.12845,-82.41344
ATM Extension,The Bank > Mile Two Routes > (2) Mile Two > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/113965767/atm-extension,3.9,Sport,5.10c,1,90,36.88041,-82.43219
One Lane Highway,Bird's Nest > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/107549315/one-lane-highway,3.2,"Trad, TR",5.10c,1,60,38.98789,-77.24715
