route,location,url,avg_stars,route_type,rating,pitches,length,y,x
Ranger Rick (Sit),Ranger Rick Boulder > Contact Station Boulders > Contact Station Area > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/106734511/ranger-rick-sit,3,Boulder,V4,1,15,36.61245,-81.48093
True Grit,True Grit Boulder > Contact Station Boulders > Contact Station Area > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/106483563/true-grit,3.4,Boulder,V5,1,10,36.61245,-81.48093
Front Man,A.V.P. Boulder > A.V.P. Boulders > Boneyard Area > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/106564590/front-man,3.8,Boulder,V5,1,NA,36.61324,-81.49537
Horizon Line,Horizon Boulder > Horizon Area > Highlands > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/106483053/horizon-line,3.8,Boulder,V6,1,20,36.6409,-81.50552
Flying Spaghetti Monster,Olympus Boulder > Picnic Area Boulders > Picnic Area > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/106935228/flying-spaghetti-monster,3.8,Boulder,V7,1,15,36.62727,-81.48103
Thews,Thews Boulder > Middle Boneyard > Boneyard Area > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/106656174/thews,3.9,Boulder,V6,1,11,36.61271,-81.49507
The Bird,Second Mountain > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/113624923/the-bird,4,Boulder,V8,1,NA,38.51696,-79.03842
Moneyshot,Roadside > McAfee's Knob > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/106955170/moneyshot,3.9,Boulder,V7,1,15,37.3804,-80.0899
The Roof Problem,Second Mountain > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/107502701/the-roof-problem,3.6,Boulder,V4,1,NA,38.51696,-79.03842
Worm World,Second Mountain > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/112320745/worm-world,3.8,Boulder,V7+,1,15,38.51696,-79.03842
Gumby Traverse,Gumby > Main Area > The Forest > Blue Ridge Parkway > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/120064324/gumby-traverse,3.3,Boulder,V4-5,1,20,37.89468,-79.0483
Supercharger,Mustang Boulder > Rock Point Overlook > Blue Ridge Parkway > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/120234944/supercharger,3.9,Boulder,V7,1,12,37.93755,-78.94933
Title Fight,Title Fight Boulder > Title Fight Area > Cascades Bouldering > Blacksburg Vicinity > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/107542416/title-fight,3.9,Boulder,V5-6,1,14,37.35999,-80.58823
Ballad of Love and Hate,Mike-N-Ike Boulder > 2. SLS Area > Listening Rock Trail > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/107290137/ballad-of-love-and-hate,2.9,Boulder,V3-4,1,9,36.62166,-81.5037
Frisky Monkey,Tiger-Side Boulder > 1. Overlook Area > Listening Rock Trail > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/107315784/frisky-monkey,3.4,Boulder,V6,1,12,36.62243,-81.50206
Guatemalan Insanity Pepper,Trail side bouldering > Blue Ridge Rail Way Trail > Amherst County > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/119932941/guatemalan-insanity-pepper,4,Boulder,V6-7,1,12,37.69803,-79.00532
Corona Crimps,Figurehead Wall > Forest Hill Park > Richmond Vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/118704184/corona-crimps,3.6,Boulder,V4,1,15,37.51783,-77.47332
Life After Greenstone,Greenstonia (Ridgeline) > Ridgeline > The Forest > Blue Ridge Parkway > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/111218348/life-after-greenstone,3.8,Boulder,V9,1,20,37.89163,-79.04691
Centerline,Roadside > McAfee's Knob > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/106955222/centerline,3.3,Boulder,V5-6,1,12,37.3804,-80.0899
Pure Gold,Prospector's Roof > Prospectors Trail > Breaks Bouldering > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/114142961/pure-gold,4,Boulder,V8,1,25,37.2902,-82.30813
Houdini,Houdini Boulder > Left Blasters > Blaster Blocks > Keelowkee Lake > HKL West > High Knob Landform > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/121283220/houdini,4,Boulder,V6,1,11,36.91727,-82.64656
Rapunzel Syndrome,Cascadia > Cascadia Area > Cascades Bouldering > Blacksburg Vicinity > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/107478030/rapunzel-syndrome,3.9,Boulder,V7,1,12,37.35375,-80.59888
A Boy Named Sue,Big Rig Boulder > Wild Wood > Haw Orchard > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/107913421/a-boy-named-sue,4,Boulder,V4,1,25,36.6185,-81.48122
Inglorious Bastards,Cascadia > Cascadia Area > Cascades Bouldering > Blacksburg Vicinity > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/107459398/inglorious-bastards,4,Boulder,V8,1,13,37.35375,-80.59888
Precipice,Tipping Block > Stones > Harkening Hill > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/107438300/precipice,4,Boulder,V4,1,12,37.45317,-79.61745
La Femme Fatale,Whileaway Boulder > The Buttermilks > Richmond Vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/120004353/la-femme-fatale,3.9,Boulder,V6-7,1,12,37.52552,-77.45422
Naturally Aspirated,Mustang Boulder > Rock Point Overlook > Blue Ridge Parkway > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/120234956/naturally-aspirated,3.7,Boulder,V8,1,12,37.93755,-78.94933
Crazy Horse,Rock House Boulder > Picnic Area Boulders > Picnic Area > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/106815203/crazy-horse,3.3,Boulder,V4+,1,17,36.62523,-81.48157
Million Dollar Mistake,Alone Boulder > Crescent Boulders > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/119407943/million-dollar-mistake,3.8,Boulder,V6 PG13,1,17,39.13643,-77.84407
What Could Have Been,12.2 Boulder > Blue Ridge Parkway > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/112377737/what-could-have-been,4,Boulder,V7-8 PG13,1,23,37.91905,-78.96852
Get Pitted,Teahupo'o Boulder > The Beach > Mill Creek > Blacksburg Vicinity > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/118987831/get-pitted,3.8,Boulder,V9,1,NA,37.31501,-80.79362
Lifestyles,A.V.P. Boulder > A.V.P. Boulders > Boneyard Area > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/106936181/lifestyles,3.8,Boulder,V9,1,NA,36.61324,-81.49537
Justice for All,Casablanca Boulder > Casablanca Boulders > Casablanca Area > Mile Two Boulders > (2) Mile Two > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/115388795/justice-for-all,4,Boulder,V5,1,18,36.91291,-82.44043
Ricochet Roof,Ricochet Boulder > Left Blasters > Blaster Blocks > Keelowkee Lake > HKL West > High Knob Landform > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/120537091/ricochet-roof,4,Boulder,V7,1,13,36.91727,-82.64656
Darkside Roof,Darkside Boulder > Center Darkside > Darkside > Jay's Creek > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/118077635/darkside-roof,4,Boulder,V6,1,20,36.90949,-82.45517
Purple People Eaters,Springfield Bouldering (Hooes Rd) > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/117984775/purple-people-eaters,3.4,Boulder,V6,1,NA,38.7615,-77.2077
Wing and a Prayer,Prayer Boulder > Samurai Area > Mile Two Boulders > (2) Mile Two > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/112304256/wing-and-a-prayer,4,Boulder,V7,1,18,36.89963,-82.42016
American Taliban,Values Boulder > Stones > Harkening Hill > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/107427421/american-taliban,4,Boulder,V9,1,15,37.45603,-79.62249
Finite Element Analysis (FEA),Finite Element Boulder > Finite Element Area > McAfee's Knob > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/107087708/finite-element-analysis-fea,4,Boulder,V5,1,12,37.39199,-80.03616
Ambi-turner (stand),Zoolander Boulder > Samurai Area > Mile Two Boulders > (2) Mile Two > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/109895210/ambi-turner-stand,4,Boulder,V5,1,9,36.90032,-82.41947
Seventh Son,Seventh Son Boulder > Egg Basket > Harkening Hill > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/107438199/seventh-son,4,Boulder,V8,1,12,37.44974,-79.61754
Smear Campaign,Burlstain Boulder > Stones > Harkening Hill > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/107427386/smear-campaign,4,Boulder,V4,1,16,37.46555,-79.60949
God's Own Greenstone,Greenstonia (Ridgeline) > Ridgeline > The Forest > Blue Ridge Parkway > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/109846513/gods-own-greenstone,3.5,Boulder,V7,1,20,37.89163,-79.04691
Jurassic Park Arête,The Egg Boulder > The Buttermilks > Richmond Vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/109849360/jurassic-park-arete,3.4,Boulder,V4+,1,10,37.52715,-77.48036
Code Just Off the Road,Snail Boulder > Blue Ridge Parkway > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/121576525/code-just-off-the-road,4,Boulder,V8,1,13,37.98008,-78.90571
Super Snake,Mustang Boulder > Rock Point Overlook > Blue Ridge Parkway > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/120235009/super-snake,3.7,Boulder,V10,1,12,37.93755,-78.94933
American Muscle,Mustang Boulder > Rock Point Overlook > Blue Ridge Parkway > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/120487159/american-muscle,3.5,Boulder,V11,1,NA,37.93755,-78.94933
Humdinger,12.2 Boulder > Blue Ridge Parkway > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/118111381/humdinger,4,Boulder,V9,1,NA,37.91905,-78.96852
Starter Kit,Chia Boulder > Main Area > The Forest > Blue Ridge Parkway > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/122181779/starter-kit,2.8,Boulder,V5-6,1,15,37.89412,-79.05014
Basuco Line,End of the Line Area > Crescent Boulders > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/120534893/basuco-line,3.8,Boulder,V8-,1,10,39.13733,-77.84383
Prospector's Roof,Prospector's Roof > Prospectors Trail > Breaks Bouldering > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/114273927/prospectors-roof,4,Boulder,V4,1,20,37.2902,-82.30813
Kamaji,White Rock Roof > Blacksburg Vicinity > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/119478907/kamaji,3.8,Boulder,V7,1,22,37.40084,-80.65744
Billy Budd,Belgrano Blade > Right Boneyard > Boneyard Area > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/106704056/billy-budd,3.6,Boulder,V4,1,11,36.61272,-81.49442
Palm Control,Chicken Breast Boulder > The Beach > Mill Creek > Blacksburg Vicinity > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/118988014/palm-control,4,Boulder,V5,1,NA,37.31345,-80.79462
Illuminati,Luminary Boulder > Luminary Area > Haw Orchard > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/113067380/illuminati,4,Boulder,V9,1,13,36.6185,-81.48122
Trail Wolf,Trail Wolf Boulder > Camp Branch Trail > Breaks Bouldering > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/114142914/trail-wolf,4,Boulder,V5,1,15,37.12844,-82.41344
