county_fips,county_name,county_pop,state_name
47101,"Lewis County, Tennessee",12268,Tennessee
47131,"Obion County, Tennessee",30069,Tennessee
47167,"Tipton County, Tennessee",61599,Tennessee
47045,"Dyer County, Tennessee",37159,Tennessee
47065,"Hamilton County, Tennessee",367804,Tennessee
16071,"Oneida County, Idaho",4531,Idaho
16031,"Cassia County, Idaho",24030,Idaho
16063,"Lincoln County, Idaho",5366,Idaho
16003,"Adams County, Idaho",4294,Idaho
16041,"Franklin County, Idaho",13876,Idaho
16053,"Jerome County, Idaho",24412,Idaho
16055,"Kootenai County, Idaho",165697,Idaho
16067,"Minidoka County, Idaho",21039,Idaho
16073,"Owyhee County, Idaho",11823,Idaho
16013,"Blaine County, Idaho",23021,Idaho
16021,"Boundary County, Idaho",12245,Idaho
16023,"Butte County, Idaho",2597,Idaho
16047,"Gooding County, Idaho",15179,Idaho
16001,"Ada County, Idaho",481587,Idaho
16007,"Bear Lake County, Idaho",6125,Idaho
16019,"Bonneville County, Idaho",119062,Idaho
16025,"Camas County, Idaho",1106,Idaho
16035,"Clearwater County, Idaho",8756,Idaho
16051,"Jefferson County, Idaho",29871,Idaho
16059,"Lemhi County, Idaho",8027,Idaho
37113,"Macon County, North Carolina",35858,North Carolina
37111,"McDowell County, North Carolina",45756,North Carolina
37069,"Franklin County, North Carolina",69685,North Carolina
37103,"Jones County, North Carolina",9419,North Carolina
37019,"Brunswick County, North Carolina",142820,North Carolina
37175,"Transylvania County, North Carolina",34385,North Carolina
37013,"Beaufort County, North Carolina",46994,North Carolina
37047,"Columbus County, North Carolina",55508,North Carolina
37109,"Lincoln County, North Carolina",86111,North Carolina
37123,"Montgomery County, North Carolina",27173,North Carolina
37135,"Orange County, North Carolina",148476,North Carolina
37153,"Richmond County, North Carolina",44829,North Carolina
37163,"Sampson County, North Carolina",63531,North Carolina
37171,"Surry County, North Carolina",71783,North Carolina
37011,"Avery County, North Carolina",17557,North Carolina
37021,"Buncombe County, North Carolina",261191,North Carolina
37025,"Cabarrus County, North Carolina",216453,North Carolina
37033,"Caswell County, North Carolina",22604,North Carolina
37059,"Davie County, North Carolina",42846,North Carolina
37057,"Davidson County, North Carolina",167609,North Carolina
37061,"Duplin County, North Carolina",58741,North Carolina
37063,"Durham County, North Carolina",321488,North Carolina
37091,"Hertford County, North Carolina",23677,North Carolina
37105,"Lee County, North Carolina",61779,North Carolina
37129,"New Hanover County, North Carolina",234473,North Carolina
37141,"Pender County, North Carolina",63060,North Carolina
37191,"Wayne County, North Carolina",123131,North Carolina
37165,"Scotland County, North Carolina",34823,North Carolina
37189,"Watauga County, North Carolina",56177,North Carolina
37083,"Halifax County, North Carolina",50010,North Carolina
37001,"Alamance County, North Carolina",169509,North Carolina
37177,"Tyrrell County, North Carolina",4016,North Carolina
38089,"Stark County, North Dakota",31489,North Dakota
38103,"Wells County, North Dakota",3834,North Dakota
38013,"Burke County, North Dakota",2115,North Dakota
38061,"Mountrail County, North Dakota",10545,North Dakota
38105,"Williams County, North Dakota",37589,North Dakota
38007,"Billings County, North Dakota",928,North Dakota
38043,"Kidder County, North Dakota",2480,North Dakota
38019,"Cavalier County, North Dakota",3762,North Dakota
38037,"Grant County, North Dakota",2274,North Dakota
38049,"McHenry County, North Dakota",5745,North Dakota
38091,"Steele County, North Dakota",1890,North Dakota
38005,"Benson County, North Dakota",6832,North Dakota
38045,"LaMoure County, North Dakota",4046,North Dakota
38059,"Morton County, North Dakota",31364,North Dakota
38025,"Dunn County, North Dakota",4424,North Dakota
38051,"McIntosh County, North Dakota",2497,North Dakota
38063,"Nelson County, North Dakota",2879,North Dakota
38079,"Rolette County, North Dakota",14176,North Dakota
38099,"Walsh County, North Dakota",10641,North Dakota
38009,"Bottineau County, North Dakota",6282,North Dakota
38003,"Barnes County, North Dakota",10415,North Dakota
38035,"Grand Forks County, North Dakota",69451,North Dakota
38053,"McKenzie County, North Dakota",15024,North Dakota
38055,"McLean County, North Dakota",9450,North Dakota
38069,"Pierce County, North Dakota",3975,North Dakota
36019,"Clinton County, New York",80485,New York
36099,"Seneca County, New York",34016,New York
36079,"Putnam County, New York",98320,New York
36043,"Herkimer County, New York",61319,New York
36069,"Ontario County, New York",109777,New York
36101,"Steuben County, New York",95379,New York
36041,"Hamilton County, New York",4416,New York
36013,"Chautauqua County, New York",126903,New York
36047,"Kings County, New York",2559903,New York
36107,"Tioga County, New York",48203,New York
36073,"Orleans County, New York",40352,New York
36091,"Saratoga County, New York",229863,New York
36021,"Columbia County, New York",59461,New York
36049,"Lewis County, New York",26296,New York
36119,"Westchester County, New York",967506,New York
36025,"Delaware County, New York",44135,New York
36057,"Montgomery County, New York",49221,New York
36085,"Richmond County, New York",476143,New York
36089,"St. Lawrence County, New York",107740,New York
36109,"Tompkins County, New York",102180,New York
36113,"Warren County, New York",63944,New York
36023,"Cortland County, New York",47581,New York
36027,"Dutchess County, New York",294218,New York
36055,"Monroe County, New York",741770,New York
36065,"Oneida County, New York",228671,New York
36111,"Ulster County, New York",177573,New York
36015,"Chemung County, New York",83456,New York
36051,"Livingston County, New York",62914,New York
36077,"Otsego County, New York",59493,New York
36039,"Greene County, New York",47188,New York
36001,"Albany County, New York",305506,New York
36003,"Allegany County, New York",46091,New York
36009,"Cattaraugus County, New York",76117,New York
36053,"Madison County, New York",70941,New York
36093,"Schenectady County, New York",155299,New York
36037,"Genesee County, New York",57280,New York
36123,"Yates County, New York",24913,New York
37079,"Greene County, North Carolina",21069,North Carolina
37121,"Mitchell County, North Carolina",14964,North Carolina
37041,"Chowan County, North Carolina",13943,North Carolina
48241,"Jasper County, Texas",35529,Texas
48245,"Jefferson County, Texas",251565,Texas
48271,"Kinney County, Texas",3667,Texas
48359,"Oldham County, Texas",2112,Texas
48279,"Lamb County, Texas",12893,Texas
48295,"Lipscomb County, Texas",3233,Texas
48307,"McCulloch County, Texas",7984,Texas
48319,"Mason County, Texas",4274,Texas
48125,"Dickens County, Texas",2211,Texas
48287,"Lee County, Texas",17239,Texas
48439,"Tarrant County, Texas",2102515,Texas
48001,"Anderson County, Texas",57735,Texas
48139,"Ellis County, Texas",184826,Texas
48239,"Jackson County, Texas",14760,Texas
48265,"Kerr County, Texas",52600,Texas
48331,"Milam County, Texas",24823,Texas
48093,"Comanche County, Texas",13635,Texas
48145,"Falls County, Texas",17297,Texas
48047,"Brooks County, Texas",7093,Texas
48273,"Kleberg County, Texas",30680,Texas
48097,"Cooke County, Texas",41257,Texas
48107,"Crosby County, Texas",5737,Texas
48151,"Fisher County, Texas",3830,Texas
48131,"Duval County, Texas",11157,Texas
48031,"Blanco County, Texas",11931,Texas
72095,"Maunabo Municipio, Puerto Rico",10321,Puerto Rico
72113,"Ponce Municipio, Puerto Rico",131881,Puerto Rico
72135,"Toa Alta Municipio, Puerto Rico",72025,Puerto Rico
72137,"Toa Baja Municipio, Puerto Rico",74271,Puerto Rico
72147,"Vieques Municipio, Puerto Rico",8386,Puerto Rico
72151,"Yabucoa Municipio, Puerto Rico",32282,Puerto Rico
72003,"Aguada Municipio, Puerto Rico",36694,Puerto Rico
72025,"Caguas Municipio, Puerto Rico",124606,Puerto Rico
72041,"Cidra Municipio, Puerto Rico",38307,Puerto Rico
72043,"Coamo Municipio, Puerto Rico",38336,Puerto Rico
72051,"Dorado Municipio, Puerto Rico",36141,Puerto Rico
72089,"Luquillo Municipio, Puerto Rico",17665,Puerto Rico
72019,"Barranquitas Municipio, Puerto Rico",27725,Puerto Rico
72107,"Orocovis Municipio, Puerto Rico",20220,Puerto Rico
72129,"San Lorenzo Municipio, Puerto Rico",35989,Puerto Rico
72037,"Ceiba Municipio, Puerto Rico",10904,Puerto Rico
72039,"Ciales Municipio, Puerto Rico",15808,Puerto Rico
72071,"Isabela Municipio, Puerto Rico",40423,Puerto Rico
72073,"Jayuya Municipio, Puerto Rico",13891,Puerto Rico
72081,"Lares Municipio, Puerto Rico",24276,Puerto Rico
72127,"San Juan Municipio, Puerto Rico",318441,Puerto Rico
72143,"Vega Alta Municipio, Puerto Rico",36061,Puerto Rico
72093,"Maricao Municipio, Puerto Rico",5430,Puerto Rico
56001,"Albany County, Wyoming",38880,Wyoming
56007,"Carbon County, Wyoming",14800,Wyoming
56015,"Goshen County, Wyoming",13211,Wyoming
56041,"Uinta County, Wyoming",20226,Wyoming
56043,"Washakie County, Wyoming",7805,Wyoming
56017,"Hot Springs County, Wyoming",4413,Wyoming
56013,"Fremont County, Wyoming",39261,Wyoming
56035,"Sublette County, Wyoming",9831,Wyoming
56045,"Weston County, Wyoming",6927,Wyoming
72009,"Aibonito Municipio, Puerto Rico",22108,Puerto Rico
72077,"Juncos Municipio, Puerto Rico",38155,Puerto Rico
72079,"Lajas Municipio, Puerto Rico",22010,Puerto Rico
72001,"Adjuntas Municipio, Puerto Rico",17363,Puerto Rico
72027,"Camuy Municipio, Puerto Rico",30504,Puerto Rico
72103,"Naguabo Municipio, Puerto Rico",25761,Puerto Rico
72105,"Naranjito Municipio, Puerto Rico",27349,Puerto Rico
72013,"Arecibo Municipio, Puerto Rico",81966,Puerto Rico
72015,"Arroyo Municipio, Puerto Rico",17238,Puerto Rico
72115,"Quebradillas Municipio, Puerto Rico",22918,Puerto Rico
72057,"Guayama Municipio, Puerto Rico",39465,Puerto Rico
72049,"Culebra Municipio, Puerto Rico",1714,Puerto Rico
72063,"Gurabo Municipio, Puerto Rico",47093,Puerto Rico
72017,"Barceloneta Municipio, Puerto Rico",23727,Puerto Rico
72153,"Yauco Municipio, Puerto Rico",33575,Puerto Rico
72005,"Aguadilla Municipio, Puerto Rico",50265,Puerto Rico
72023,"Cabo Rojo Municipio, Puerto Rico",47515,Puerto Rico
72109,"Patillas Municipio, Puerto Rico",16211,Puerto Rico
72149,"Villalba Municipio, Puerto Rico",21372,Puerto Rico
72031,"Carolina Municipio, Puerto Rico",146984,Puerto Rico
72035,"Cayey Municipio, Puerto Rico",42409,Puerto Rico
72069,"Humacao Municipio, Puerto Rico",50653,Puerto Rico
72101,"Morovis Municipio, Puerto Rico",30335,Puerto Rico
72139,"Trujillo Alto Municipio, Puerto Rico",63674,Puerto Rico
72091,"Manatí Municipio, Puerto Rico",37287,Puerto Rico
72111,"Peñuelas Municipio, Puerto Rico",19249,Puerto Rico
72117,"Rincón Municipio, Puerto Rico",13656,Puerto Rico
72125,"San Germán Municipio, Puerto Rico",30227,Puerto Rico
72131,"San Sebastián Municipio, Puerto Rico",35528,Puerto Rico
72021,"Bayamón Municipio, Puerto Rico",169269,Puerto Rico
72029,"Canóvanas Municipio, Puerto Rico",44674,Puerto Rico
72045,"Comerío Municipio, Puerto Rico",18648,Puerto Rico
72075,"Juana Díaz Municipio, Puerto Rico",44679,Puerto Rico
72083,"Las Marías Municipio, Puerto Rico",7927,Puerto Rico
72047,"Corozal Municipio, Puerto Rico",32293,Puerto Rico
42055,"Franklin County, Pennsylvania",155027,Pennsylvania
42119,"Union County, Pennsylvania",44923,Pennsylvania
38047,"Logan County, North Dakota",1850,North Dakota
38075,"Renville County, North Dakota",2327,North Dakota
38011,"Bowman County, North Dakota",3024,North Dakota
38015,"Burleigh County, North Dakota",95626,North Dakota
38065,"Oliver County, North Dakota",1959,North Dakota
38093,"Stutsman County, North Dakota",20704,North Dakota
38071,"Ramsey County, North Dakota",11519,North Dakota
38031,"Foster County, North Dakota",3210,North Dakota
38039,"Griggs County, North Dakota",2231,North Dakota
38083,"Sheridan County, North Dakota",1315,North Dakota
38087,"Slope County, North Dakota",750,North Dakota
39159,"Union County, Ohio",58988,Ohio
39131,"Pike County, Ohio",27772,Ohio
39125,"Paulding County, Ohio",18672,Ohio
39061,"Hamilton County, Ohio",817473,Ohio
39049,"Franklin County, Ohio",1316756,Ohio
39101,"Marion County, Ohio",65093,Ohio
39157,"Tuscarawas County, Ohio",91987,Ohio
39169,"Wayne County, Ohio",115710,Ohio
39015,"Brown County, Ohio",43432,Ohio
39017,"Butler County, Ohio",383134,Ohio
40123,"Pontotoc County, Oklahoma",38284,Oklahoma
40129,"Roger Mills County, Oklahoma",3583,Oklahoma
40153,"Woodward County, Oklahoma",20211,Oklahoma
40021,"Cherokee County, Oklahoma",48657,Oklahoma
40041,"Delaware County, Oklahoma",43009,Oklahoma
40045,"Ellis County, Oklahoma",3859,Oklahoma
40051,"Grady County, Oklahoma",55834,Oklahoma
40119,"Payne County, Oklahoma",81784,Oklahoma
40125,"Pottawatomie County, Oklahoma",72592,Oklahoma
40037,"Creek County, Oklahoma",71522,Oklahoma
40141,"Tillman County, Oklahoma",7250,Oklahoma
40149,"Washita County, Oklahoma",10916,Oklahoma
40033,"Cotton County, Oklahoma",5666,Oklahoma
40075,"Kiowa County, Oklahoma",8708,Oklahoma
40079,"Le Flore County, Oklahoma",49853,Oklahoma
40089,"McCurtain County, Oklahoma",32832,Oklahoma
40093,"Major County, Oklahoma",7629,Oklahoma
40097,"Mayes County, Oklahoma",41100,Oklahoma
40109,"Oklahoma County, Oklahoma",797434,Oklahoma
40039,"Custer County, Oklahoma",29003,Oklahoma
40085,"Love County, Oklahoma",10253,Oklahoma
40009,"Beckham County, Oklahoma",21859,Oklahoma
40023,"Choctaw County, Oklahoma",14672,Oklahoma
40065,"Jackson County, Oklahoma",24530,Oklahoma
40081,"Lincoln County, Oklahoma",34877,Oklahoma
40117,"Pawnee County, Oklahoma",16376,Oklahoma
40133,"Seminole County, Oklahoma",24258,Oklahoma
40025,"Cimarron County, Oklahoma",2137,Oklahoma
40011,"Blaine County, Oklahoma",9429,Oklahoma
40029,"Coal County, Oklahoma",5495,Oklahoma
40053,"Grant County, Oklahoma",4333,Oklahoma
40073,"Kingfisher County, Oklahoma",15765,Oklahoma
40087,"McClain County, Oklahoma",40474,Oklahoma
40095,"Marshall County, Oklahoma",16931,Oklahoma
40103,"Noble County, Oklahoma",11131,Oklahoma
40105,"Nowata County, Oklahoma",10076,Oklahoma
40131,"Rogers County, Oklahoma",92459,Oklahoma
40135,"Sequoyah County, Oklahoma",41569,Oklahoma
48015,"Austin County, Texas",30032,Texas
48261,"Kenedy County, Texas",404,Texas
48089,"Colorado County, Texas",21493,Texas
48409,"San Patricio County, Texas",66730,Texas
48381,"Randall County, Texas",137713,Texas
48411,"San Saba County, Texas",6055,Texas
48413,"Schleicher County, Texas",2793,Texas
48507,"Zavala County, Texas",11840,Texas
48057,"Calhoun County, Texas",21290,Texas
48155,"Foard County, Texas",1155,Texas
48175,"Goliad County, Texas",7658,Texas
48193,"Hamilton County, Texas",8461,Texas
48335,"Mitchell County, Texas",8545,Texas
48449,"Titus County, Texas",32750,Texas
48285,"Lavaca County, Texas",20154,Texas
48445,"Terry County, Texas",12337,Texas
48497,"Wise County, Texas",69984,Texas
48321,"Matagorda County, Texas",36643,Texas
48371,"Pecos County, Texas",15823,Texas
48397,"Rockwall County, Texas",104915,Texas
48441,"Taylor County, Texas",138034,Texas
48447,"Throckmorton County, Texas",1501,Texas
48471,"Walker County, Texas",72971,Texas
48499,"Wood County, Texas",45539,Texas
48007,"Aransas County, Texas",23510,Texas
48079,"Cochran County, Texas",2853,Texas
48081,"Coke County, Texas",3387,Texas
48099,"Coryell County, Texas",75951,Texas
48211,"Hemphill County, Texas",3819,Texas
48341,"Moore County, Texas",20940,Texas
48375,"Potter County, Texas",117415,Texas
48405,"San Augustine County, Texas",8237,Texas
48417,"Shackelford County, Texas",3265,Texas
48427,"Starr County, Texas",64633,Texas
48461,"Upton County, Texas",3657,Texas
48049,"Brown County, Texas",37864,Texas
48191,"Hall County, Texas",2964,Texas
48159,"Franklin County, Texas",10725,Texas
48163,"Frio County, Texas",20306,Texas
48281,"Lampasas County, Texas",21428,Texas
50019,"Orleans County, Vermont",27037,Vermont
50013,"Grand Isle County, Vermont",7235,Vermont
50007,"Chittenden County, Vermont",163774,Vermont
50015,"Lamoille County, Vermont",25362,Vermont
50011,"Franklin County, Vermont",49402,Vermont
50005,"Caledonia County, Vermont",29993,Vermont
50025,"Windham County, Vermont",42222,Vermont
50003,"Bennington County, Vermont",35470,Vermont
50001,"Addison County, Vermont",36777,Vermont
50009,"Essex County, Vermont",6163,Vermont
50023,"Washington County, Vermont",58409,Vermont
49027,"Millard County, Utah",13188,Utah
49045,"Tooele County, Utah",72259,Utah
49053,"Washington County, Utah",177556,Utah
49025,"Kane County, Utah",7886,Utah
49043,"Summit County, Utah",42145,Utah
49019,"Grand County, Utah",9754,Utah
49031,"Piute County, Utah",1479,Utah
49033,"Rich County, Utah",2483,Utah
49051,"Wasatch County, Utah",34091,Utah
42127,"Wayne County, Pennsylvania",51361,Pennsylvania
42009,"Bedford County, Pennsylvania",47888,Pennsylvania
42089,"Monroe County, Pennsylvania",170271,Pennsylvania
42061,"Huntingdon County, Pennsylvania",45144,Pennsylvania
42125,"Washington County, Pennsylvania",206865,Pennsylvania
42101,"Philadelphia County, Pennsylvania",1584064,Pennsylvania
42133,"York County, Pennsylvania",449058,Pennsylvania
42063,"Indiana County, Pennsylvania",84073,Pennsylvania
42041,"Cumberland County, Pennsylvania",253370,Pennsylvania
42003,"Allegheny County, Pennsylvania",1216045,Pennsylvania
42129,"Westmoreland County, Pennsylvania",348899,Pennsylvania
42053,"Forest County, Pennsylvania",7247,Pennsylvania
42013,"Blair County, Pennsylvania",121829,Pennsylvania
42073,"Lawrence County, Pennsylvania",85512,Pennsylvania
42015,"Bradford County, Pennsylvania",60323,Pennsylvania
42021,"Cambria County, Pennsylvania",130192,Pennsylvania
42029,"Chester County, Pennsylvania",524989,Pennsylvania
42011,"Berks County, Pennsylvania",421164,Pennsylvania
42087,"Mifflin County, Pennsylvania",46138,Pennsylvania
29129,"Mercer County, Missouri",3617,Missouri
29229,"Wright County, Missouri",18289,Missouri
29047,"Clay County, Missouri",249948,Missouri
29065,"Dent County, Missouri",15573,Missouri
29195,"Saline County, Missouri",22761,Missouri
29227,"Worth County, Missouri",2013,Missouri
29079,"Grundy County, Missouri",9850,Missouri
29141,"Morgan County, Missouri",20627,Missouri
29179,"Reynolds County, Missouri",6270,Missouri
29189,"St. Louis County, Missouri",994205,Missouri
29209,"Stone County, Missouri",31952,Missouri
29009,"Barry County, Missouri",35789,Missouri
29019,"Boone County, Missouri",180463,Missouri
29051,"Cole County, Missouri",76745,Missouri
29055,"Crawford County, Missouri",23920,Missouri
29093,"Iron County, Missouri",10125,Missouri
29117,"Livingston County, Missouri",15227,Missouri
29135,"Moniteau County, Missouri",16132,Missouri
29155,"Pemiscot County, Missouri",15805,Missouri
29159,"Pettis County, Missouri",42339,Missouri
29203,"Shannon County, Missouri",8166,Missouri
29175,"Randolph County, Missouri",24748,Missouri
29069,"Dunklin County, Missouri",29131,Missouri
29071,"Franklin County, Missouri",103967,Missouri
29089,"Howard County, Missouri",10001,Missouri
29095,"Jackson County, Missouri",703011,Missouri
29131,"Miller County, Missouri",25619,Missouri
29171,"Putnam County, Missouri",4696,Missouri
29213,"Taney County, Missouri",55928,Missouri
29021,"Buchanan County, Missouri",87364,Missouri
29025,"Caldwell County, Missouri",9020,Missouri
29037,"Cass County, Missouri",105780,Missouri
29049,"Clinton County, Missouri",20387,Missouri
29059,"Dallas County, Missouri",16878,Missouri
29085,"Hickory County, Missouri",9544,Missouri
29113,"Lincoln County, Missouri",59013,Missouri
29137,"Monroe County, Missouri",8644,Missouri
29145,"Newton County, Missouri",58236,Missouri
29163,"Pike County, Missouri",18302,Missouri
29183,"St. Charles County, Missouri",402022,Missouri
40107,"Okfuskee County, Oklahoma",11993,Oklahoma
40003,"Alfalfa County, Oklahoma",5702,Oklahoma
40151,"Woods County, Oklahoma",8793,Oklahoma
40027,"Cleveland County, Oklahoma",284014,Oklahoma
40005,"Atoka County, Oklahoma",13758,Oklahoma
41061,"Union County, Oregon",26835,Oregon
41047,"Marion County, Oregon",347818,Oregon
41019,"Douglas County, Oregon",110980,Oregon
41031,"Jefferson County, Oregon",24658,Oregon
41053,"Polk County, Oregon",86085,Oregon
41017,"Deschutes County, Oregon",197692,Oregon
41043,"Linn County, Oregon",129749,Oregon
41071,"Yamhill County, Oregon",107100,Oregon
41001,"Baker County, Oregon",16124,Oregon
41035,"Klamath County, Oregon",68238,Oregon
41041,"Lincoln County, Oregon",49962,Oregon
41003,"Benton County, Oregon",93053,Oregon
41013,"Crook County, Oregon",24404,Oregon
41055,"Sherman County, Oregon",1780,Oregon
